Model,RMSE,MAE,R2,Run_ID
Random Forest,3.558730381542279,2.4099251870324188,0.9689248850178747,e5a76a466f9e413aa09468c8a2dfc3cd
Decision Tree,4.794032900877568,3.136118038237739,0.943607078705784,a27c19e65be24477b3b35845dad1e834
Linear Regression,12.772033686569724,9.637676096029809,0.5997395466492281,5168ad0b8bc84aae8b42a095652e3085
